32.6	17.583
32.7	17.5395
32.8	17.4962
32.9	17.4532
33	17.4104
33.1	17.3678
33.2	17.3254
33.3	17.2833
33.4	17.2415
33.5	17.1998
33.6	17.1584
33.7	17.1172
33.8	17.0763
33.9	17.0355
34	16.995
34.1	16.9547
34.2	16.9146
34.3	16.8747
34.4	16.8351
34.5	16.7956
34.6	16.7564
34.7	16.7174
34.8	16.6786
34.9	16.6399
35	16.6015
35.1	16.5633
35.2	16.5253
35.3	16.4875
35.4	16.4499
35.5	16.4124
35.6	16.3752
35.7	16.3382
35.8	16.3013
35.9	16.2647
36	16.2282
36.1	16.1919
36.2	16.1558
36.3	16.1199
36.4	16.0841
36.5	16.0486
36.6	16.0132
36.7	15.978
36.8	15.943
36.9	15.9081
37	15.8734
37.1	15.8389
37.2	15.8046
37.3	15.7704
37.4	15.7365
37.5	15.7026
37.6	15.669
37.7	15.6355
37.8	15.6021
37.9	15.569
38	15.536
38.1	15.5031
38.2	15.4704
38.3	15.4379
38.4	15.4055
38.5	15.3733
38.6	15.3412
38.7	15.3093
38.8	15.2775
38.9	15.2459
39	15.2144
39.1	15.1831
39.2	15.152
39.3	15.1209
39.4	15.09
39.5	15.0593
39.6	15.0287
39.7	14.9983
39.8	14.968
39.9	14.9378
40	14.9078
40.1	14.8779
40.2	14.8481
40.3	14.8185
40.4	14.789
40.5	14.7597
40.6	14.7305
40.7	14.7014
40.8	14.6724
40.9	14.6436
41	14.6149
41.1	14.5863
41.2	14.5579
41.3	14.5296
41.4	14.5014
41.5	14.4734
41.6	14.4454
41.7	14.4176
41.8	14.3899
41.9	14.3624
42	14.3349
42.1	14.3076
42.2	14.2804
42.3	14.2534
42.4	14.2264
42.5	14.1995
42.6	14.1728
42.7	14.1462
42.8	14.1197
42.9	14.0933
43	14.0671
43.1	14.0409
43.2	14.0149
43.3	13.9889
43.4	13.9631
43.5	13.9374
43.6	13.9118
43.7	13.8863
43.8	13.8609
43.9	13.8356
44	13.8104
44.1	13.7854
44.2	13.7604
44.3	13.7355
44.4	13.7108
44.5	13.6861
44.6	13.6616
44.7	13.6371
44.8	13.6128
44.9	13.5885
45	13.5644
45.1	13.5403
45.2	13.5164
45.3	13.4925
45.4	13.4688
45.5	13.4451
45.6	13.4215
45.7	13.3981
45.8	13.3747
45.9	13.3514
46	13.3282
46.1	13.3051
46.2	13.2821
46.3	13.2592
46.4	13.2364
46.5	13.2137
46.6	13.191
46.7	13.1685
46.8	13.146
46.9	13.1237
47	13.1014
47.1	13.0792
47.2	13.0571
47.3	13.035
47.4	13.0131
47.5	12.9913
47.6	12.9695
47.7	12.9478
47.8	12.9262
47.9	12.9047
48	12.8833
48.1	12.8619
48.2	12.8407
48.3	12.8195
48.4	12.7984
48.5	12.7773
48.6	12.7564
48.7	12.7355
48.8	12.7148
48.9	12.6941
49	12.6734
49.1	12.6529
49.2	12.6324
49.3	12.612
49.4	12.5917
49.5	12.5715
49.6	12.5513
49.7	12.5312
49.8	12.5112
49.9	12.4912
50	12.4714
50.1	12.4516
50.2	12.4319
50.3	12.4122
50.4	12.3926
50.5	12.3731
50.6	12.3537
50.7	12.3343
50.8	12.3151
50.9	12.2958
